Quartile,n,M0 MdAPE,M1 MdAPE,M2 MdAPE,M3 MdAPE,Δ M1-M0,Δ M2-M0,Δ M3-M1,p (M3>M1),p (M2>M0)
Disp_Q1,3403,47.05,41.73,48.9,38.47,11.3,-3.94,7.8,0.0,0.9864
Disp_Q2,3575,49.5,43.06,47.83,40.79,13.02,3.37,5.27,0.0,0.0
Disp_Q3,3227,59.64,46.77,56.96,44.83,21.58,4.51,4.16,0.0,0.0
Disp_Q4,3333,61.47,43.09,54.14,40.24,29.89,11.92,6.61,0.0132,0.0
