Quartile,n,M0 MdAPE,M1 MdAPE,M2 MdAPE,M3 MdAPE,Δ M1-M0,Δ M2-M0,Δ M3-M1,p (M3>M1),p (M2>M0)
VDI_Q1,3390,44.77,37.2,44.92,35.4,16.92,-0.33,4.84,0.0,0.033
VDI_Q2,3389,51.69,42.19,47.57,39.3,18.37,7.97,6.86,0.0,0.0
VDI_Q3,3389,54.67,47.03,55.31,45.43,13.97,-1.16,3.4,0.0,0.0038
VDI_Q4,3390,66.21,48.54,60.52,45.66,26.69,8.59,5.94,0.3611,0.0
