Quartile,n,M0 MdAPE,M1 MdAPE,M2 MdAPE,M3 MdAPE,Δ M1-M0,Δ M2-M0,Δ M3-M1,p (M3>M1),p (M2>M0)
Q11,3390,27.24,8.36,24.37,11.14,69.32,10.56,-33.21,1.0,0.0
Q12,3389,39.46,29.78,37.82,28.6,24.53,4.16,3.98,0.0029,0.0
Q13,3389,59.36,63.19,56.48,57.63,-6.46,4.84,8.8,0.0,0.0005
Q14,3390,212.11,227.42,196.64,201.65,-7.22,7.29,11.33,0.0,0.0
