Quartile,n,M0 MdAPE,M1 MdAPE,M2 MdAPE,M3 MdAPE,Δ M1-M0,Δ M2-M0,Δ M3-M1,p (M3>M1),p (M2>M0)
Q1,3227,10.94,20.1,17.74,17.05,-83.72,-62.21,15.18,0.0,1.0
Q2,3226,36.14,31.69,36.22,30.07,12.32,-0.23,5.09,0.0,1.0
Q3,3226,71.09,42.15,59.86,42.57,40.72,15.8,-1.0,0.2541,0.0
Q4,3227,205.89,135.06,158.33,130.18,34.4,23.1,3.61,0.0004,0.0
