Stratum,n,M0_MdAPE,M0_CI,M1_MdAPE,M1_CI,M2_MdAPE,M2_CI,M3_MdAPE,M3_CI,Δ M1-M0,p_M1_M0,Δ M2-M0,p_M2_M0,Δ M3-M1,p_M3_M1,Δ M3-M0,p_M3_M0
R&D-Active,5685,52.58,"[51.03, 54.44]",40.07,"[38.89, 41.35]",49.39,"[47.75, 51.16]",38.45,"[37.30, 39.60]",23.79,0.0,6.07,0.0,4.05,0.0007,26.88,0.0
R&D-Zero,7873,56.97,"[55.05, 59.29]",47.33,"[45.70, 49.20]",54.9,"[52.83, 56.59]",43.98,"[42.37, 45.24]",16.93,0.0,3.63,0.0,7.07,0.0,22.81,0.0
