Stratum,n,innovation_median,innovation_mean,growth_median,growth_mean,positive_median,positive_mean,uncertainty_median,uncertainty_mean
R&D-Active,5685,1.765,1.859,0.48,0.547,0.615,0.662,0.0,0.177
R&D-Zero,7874,0.611,0.81,0.698,0.92,0.48,0.537,0.246,0.319
