Multiple,Stratum,n,M0,M1,M2,M3,Δ M2-M0,p (M2),Δ M3-M1,p (M3)
ln(EV/Sales),R&D-Active,5685,52.58,40.07,49.39,38.45,6.07,0.0,4.05,0.0007
ln(EV/Sales),R&D-Zero,7873,56.97,47.33,54.9,43.98,3.63,0.0,7.07,0.0
ln(EV/Assets),R&D-Active,5685,74.19,67.49,74.61,64.31,-0.57,0.5978,4.72,0.0
ln(EV/Assets),R&D-Zero,7873,87.85,69.33,77.94,67.73,11.28,0.0,2.32,0.0
ln(MktCap/SEQ),R&D-Active,5685,45.35,37.67,43.54,36.31,3.98,0.0039,3.61,0.7825
ln(MktCap/SEQ),R&D-Zero,7873,74.04,65.72,68.12,63.07,7.99,0.0,4.04,0.0
