mdape,ci_lo,ci_hi,mape,n,model,multiple,k,run_date,status
0.5479081490615614,0.5349923000256542,0.5619539993156255,3.3995947642238034,13558,M0_FF49,ln_v2s,5,2026-05-14,complete
0.5479081490615614,0.5349923000256542,0.5619539993156255,3.3995947642238034,13558,M0_FF49,ln_v2s,10,2026-05-14,complete
0.5479081490615614,0.5349923000256542,0.5619539993156255,3.3995947642238034,13558,M0_FF49,ln_v2s,15,2026-05-14,complete
0.5479081490615614,0.5349923000256542,0.5619539993156255,3.3995947642238034,13558,M0_FF49,ln_v2s,20,2026-05-14,complete
0.823078786774551,0.8088684944979034,0.8353272465339286,4.376307101396896,13558,M0_FF49,ln_v2a,5,2026-05-14,complete
0.823078786774551,0.8088684944979034,0.8353272465339286,4.376307101396896,13558,M0_FF49,ln_v2a,10,2026-05-14,complete
0.823078786774551,0.8088684944979034,0.8353272465339286,4.376307101396896,13558,M0_FF49,ln_v2a,15,2026-05-14,complete
0.823078786774551,0.8088684944979034,0.8353272465339286,4.376307101396896,13558,M0_FF49,ln_v2a,20,2026-05-14,complete
0.6006223609414495,0.5918346022828591,0.6101581165360139,4.152359461331164,13558,M0_FF49,ln_m2b,5,2026-05-14,complete
0.6006223609414495,0.5918346022828591,0.6101581165360139,4.152359461331164,13558,M0_FF49,ln_m2b,10,2026-05-14,complete
0.6006223609414495,0.5918346022828591,0.6101581165360139,4.152359461331164,13558,M0_FF49,ln_m2b,15,2026-05-14,complete
0.6006223609414495,0.5918346022828591,0.6101581165360139,4.152359461331164,13558,M0_FF49,ln_m2b,20,2026-05-14,complete
0.44622377998195684,0.43504224980917683,0.45685144530962296,4.288701817501456,13559,M1_Financial,ln_v2s,5,2026-05-14,complete
0.4374969855346723,0.42574818953351273,0.4457089810215958,3.6494580341768406,13559,M1_Financial,ln_v2s,10,2026-05-14,complete
0.4387445545490428,0.4279067599780472,0.4487968630994395,3.8604096093585345,13559,M1_Financial,ln_v2s,15,2026-05-14,complete
0.4295807663776367,0.41948437092591756,0.43897872929796683,3.79851576168899,13559,M1_Financial,ln_v2s,20,2026-05-14,complete
0.697601046223103,0.6786395431443966,0.7137498562474285,67.60828662951414,13559,M1_Financial,ln_v2a,5,2026-05-14,complete
0.6860306623628912,0.6692059292477098,0.700183460169397,52.03157342260624,13559,M1_Financial,ln_v2a,10,2026-05-14,complete
0.6903618385599026,0.673448813392299,0.702211586961309,36.49595045121546,13559,M1_Financial,ln_v2a,15,2026-05-14,complete
0.6897669485794363,0.6744909996765416,0.703974960946087,57.92520532677486,13559,M1_Financial,ln_v2a,20,2026-05-14,complete
0.5346932223469375,0.5210890499447459,0.5464573005299836,3.5961376922026957,13559,M1_Financial,ln_m2b,5,2026-05-14,complete
0.504328095861938,0.4933031388699988,0.5150197575901617,3.5720049511994576,13559,M1_Financial,ln_m2b,10,2026-05-14,complete
0.5034959589698681,0.49182093787800435,0.513555757502671,3.3473466752984438,13559,M1_Financial,ln_m2b,15,2026-05-14,complete
0.4964229559582862,0.4846511590673108,0.5087016838558432,3.4300711660464787,13559,M1_Financial,ln_m2b,20,2026-05-14,complete
0.5376490361309832,0.5241989725329055,0.5511146779219336,6.647461076861128,13559,M2_Text,ln_v2s,5,2026-05-14,complete
0.5188985028192978,0.5085799825174656,0.5307584739261492,4.772393628723292,13559,M2_Text,ln_v2s,10,2026-05-14,complete
0.5164402538749937,0.5049229737142494,0.528896937552263,4.495598465856404,13559,M2_Text,ln_v2s,15,2026-05-14,complete
0.5135819633326272,0.5003168969686873,0.5268038628549724,4.43330253067672,13559,M2_Text,ln_v2s,20,2026-05-14,complete
0.7873347239280725,0.7741029222715623,0.8023957753640462,55.02547554028273,13559,M2_Text,ln_v2a,5,2026-05-14,complete
0.7652610531368069,0.7546955858150456,0.7780766789790287,40.71120038423873,13559,M2_Text,ln_v2a,10,2026-05-14,complete
0.7675142949547948,0.7525679301426921,0.780834953828894,26.472013695693146,13559,M2_Text,ln_v2a,15,2026-05-14,complete
0.7681330598151944,0.7529160147055345,0.7807122971753749,26.09221782830835,13559,M2_Text,ln_v2a,20,2026-05-14,complete
0.5947587121021415,0.5824325336920091,0.6048231045646586,3.6771897147351877,13559,M2_Text,ln_m2b,5,2026-05-14,complete
0.5586613028636004,0.5465349300648242,0.571394824783943,3.6100453663896968,13559,M2_Text,ln_m2b,10,2026-05-14,complete
0.5589862287650847,0.5491194335851118,0.5703959773436902,3.5799960654122396,13559,M2_Text,ln_m2b,15,2026-05-14,complete
0.5576799938865946,0.5471163326345757,0.568876334347046,3.570827104165451,13559,M2_Text,ln_m2b,20,2026-05-14,complete
0.4351805561459619,0.4261342082361737,0.4472137281737618,4.479040541025879,13559,M3_Fusion,ln_v2s,5,2026-05-14,complete
0.41126754037394164,0.4021643289979743,0.41994748702210716,3.799155427957212,13559,M3_Fusion,ln_v2s,10,2026-05-14,complete
0.41595483111039067,0.4059277656323967,0.4265690326583047,3.5493700895754468,13559,M3_Fusion,ln_v2s,15,2026-05-14,complete
0.41247074476807066,0.40299171571385706,0.42189059451752803,3.847041243375178,13559,M3_Fusion,ln_v2s,20,2026-05-14,complete
0.6920294743218234,0.6735859527978878,0.7064547597197055,67.62395527554678,13559,M3_Fusion,ln_v2a,5,2026-05-14,complete
0.6629193427708661,0.6489779434961345,0.6751613864457845,8.366966476374953,13559,M3_Fusion,ln_v2a,10,2026-05-14,complete
0.6693793823065753,0.6530792293359782,0.6863811596859469,19.562106717510737,13559,M3_Fusion,ln_v2a,15,2026-05-14,complete
