focal_tic,focal_fyear,stratum,industry,market_cap,xrd,delta_m3_m1,delta_m2_m0,m3_wins_m1,jaccard_m1m2,regime
ABBV,2024,R&D-Active,Pharmaceutical Products,313686.1689,15548.0,0.1287944311229811,-0.15481077042197325,1,0.05263157894736842,middle
ABCB,2020,R&D-Zero,Banking,2647.42587,,-26.526000454274794,-42.59190373442564,0,0.05263157894736842,M3 loses big
ABCB,2021,R&D-Zero,Banking,3458.1254400000003,,0.15486055080794858,-0.017624099509892188,1,0.0,M3 wins big
ABCB,2022,R&D-Zero,Banking,3270.0546600000002,,-0.033384463281089974,0.018200924481888564,0,0.0,middle
ABCB,2023,R&D-Zero,Banking,3663.2616499999995,,-0.19701758435293704,0.03910016443543482,0,0.0,M3 loses big
ABCB,2024,R&D-Zero,Banking,4321.64733,,0.19301106996264294,-0.03197877778080371,1,0.0,M3 wins big
ABCL,2020,R&D-Active,Pharmaceutical Products,10844.59952,29.393,0.3159209478831833,0.21583221989753087,1,0.0,M3 wins big
ABCL,2021,R&D-Active,Pharmaceutical Products,4050.5751000000005,62.062,0.035011454769542975,-0.1940095756530007,1,0.0,middle
ABCL,2023,R&D-Active,Pharmaceutical Products,1660.6107499999998,175.658,-0.01678644637696919,-0.05727343260732359,0,0.0,middle
ABCL,2024,R&D-Active,Pharmaceutical Products,866.5680100000001,231.269,0.24489724334860702,-0.41096496994679577,1,0.0,M3 wins big
ABEO,2020,R&D-Active,Pharmaceutical Products,150.92724,30.139,-0.29000170479802606,-0.6941594253582268,0,0.0,M3 loses big
ABEO,2022,R&D-Active,Pharmaceutical Products,54.5776,28.965,0.4578139305027904,-0.35074683108219973,1,0.0,M3 wins big
ABG,2020,R&D-Zero,Retail,2810.5959000000003,0.0,-0.7582727034096317,0.018892899152364362,0,0.0,M3 loses big
ABG,2021,R&D-Zero,Retail,3996.62674,0.0,1.556399059684472,-1.3704759851888877,1,0.05263157894736842,M3 wins big
ABG,2022,R&D-Zero,Retail,3866.24325,0.0,0.0,0.4715453192029838,0,0.1111111111111111,middle
ABG,2023,R&D-Zero,Retail,4574.315009999999,0.0,0.04974382881388206,-0.12756574277517657,1,0.25,middle
ABG,2024,R&D-Zero,Retail,4759.49952,0.0,0.0,0.2802592898402975,0,0.17647058823529413,middle
ABM,2020,R&D-Zero,Business Services,2317.49056,,0.5988400961407712,1.9050412218969206,1,0.0,M3 wins big
ABM,2021,R&D-Zero,Business Services,2961.96102,,0.026899891562735645,1.1234888193871355,1,0.0,middle
ABM,2022,R&D-Zero,Business Services,2919.3218799999995,,0.05535942804921312,1.4417082779457193,1,0.05263157894736842,middle
ABM,2023,R&D-Zero,Business Services,2472.4009800000003,,0.0,1.428212357538156,0,0.0,middle
ABM,2024,R&D-Zero,Business Services,3300.1728200000002,,0.0,0.14661176321813452,0,0.05263157894736842,middle
ABNB,2020,R&D-Active,"Restaurants, Hotels, Motels",87962.1196,2752.872,0.16966528710104306,0.39870967397134743,1,0.05263157894736842,M3 wins big
ABNB,2021,R&D-Active,"Restaurants, Hotels, Motels",105475.41076,1425.048,0.007158148722225616,0.1297870812694093,1,0.0,middle
ABNB,2022,R&D-Active,"Restaurants, Hotels, Motels",53949.0465,1502.0,0.08067716508736911,-0.42257804680019817,1,0.0,middle
ABNB,2023,R&D-Active,"Restaurants, Hotels, Motels",86857.31999999999,1722.0,-0.2660611042571742,0.09259388730591611,0,0.0,M3 loses big
ABNB,2024,R&D-Active,"Restaurants, Hotels, Motels",81868.43,2056.0,0.16482131377772652,0.1306996785160806,1,0.0,M3 wins big
ABR,2020,R&D-Zero,Trading,1746.70658,0.0,-0.05848527031889435,-0.3672957088796624,0,0.0,middle
ABR,2021,R&D-Zero,Trading,2772.9518399999997,0.0,0.003620425076306971,0.14342900888901652,1,0.05263157894736842,middle
ABR,2022,R&D-Zero,Trading,2350.86689,0.0,0.019279831102472722,-0.27508015380222994,1,0.1111111111111111,middle
ABR,2023,R&D-Zero,Trading,2861.5058999999997,0.0,-0.004125221851088557,-0.08678918256534443,0,0.05263157894736842,middle
ABR,2024,R&D-Zero,Trading,2621.23715,0.0,-0.03829614663507379,0.008862807214037264,0,0.05263157894736842,middle
ABSI,2022,R&D-Active,Pharmaceutical Products,194.06310000000002,58.908,0.3993521871913792,0.026062499523680702,1,0.0,M3 wins big
ABSI,2024,R&D-Active,Pharmaceutical Products,302.24844,63.859,0.20107180043500433,0.032151851357559214,1,0.0,M3 wins big
ABT,2020,R&D-Active,Medical Equipment,193931.97269999998,2420.0,-0.005998518389899928,-0.026958983257095046,0,0.05263157894736842,middle
ABT,2021,R&D-Active,Medical Equipment,248276.90068000002,2742.0,0.06263354387517799,0.0020390578686990506,1,0.1111111111111111,middle
ABT,2022,R&D-Active,Medical Equipment,190792.51305,2888.0,-0.24981900027730713,-0.3393843993877948,0,0.05263157894736842,M3 loses big
ABT,2023,R&D-Active,Medical Equipment,190869.74532,2741.0,0.02683118574261585,0.007359485397987697,1,0.05263157894736842,middle
ABT,2024,R&D-Active,Medical Equipment,195872.36078000002,2844.0,0.17404065976375283,0.004364221300184545,1,0.0,M3 wins big
ABTC,2021,R&D-Active,Computer Software,54.253499999999995,6.272,0.11929502943678853,0.09192541432567092,1,0.0,middle
ABUS,2021,R&D-Active,Pharmaceutical Products,564.00332,65.502,-0.04943873216216181,0.28645088977834093,0,0.05263157894736842,middle
ABUS,2022,R&D-Active,Pharmaceutical Products,366.87015,84.408,0.1500804169009971,-0.2276375761958812,1,0.05263157894736842,M3 wins big
ABUS,2023,R&D-Active,Pharmaceutical Products,424.66749999999996,73.7,0.16337402071104365,-0.03745106049188607,1,0.05263157894736842,M3 wins big
ABUS,2024,R&D-Active,Pharmaceutical Products,621.17901,54.037,0.09967613986377108,-0.0006977635597963383,1,0.05263157894736842,middle
ABVC,2021,R&D-Active,Pharmaceutical Products,97.12689,1.004,-0.1299840281168425,0.41514716307226673,0,0.0,M3 loses big
ABX,2023,R&D-Zero,Insurance,610.91772,,0.0,0.6589890134568275,0,0.0,middle
ABX,2024,R&D-Zero,Insurance,749.19789,,-0.16836319652592002,0.27851831024064677,0,0.0,M3 loses big
ACA,2020,R&D-Zero,Construction Materials,2647.626,,0.6810489289944814,-1.3852256787025317,1,0.0,M3 wins big
ACA,2021,R&D-Zero,Construction Materials,2545.41,,0.10862761905067342,0.5000167201916415,1,0.0,middle
ACA,2022,R&D-Zero,Construction Materials,2630.056,,0.5196636276299949,0.8288361280905803,1,0.0,M3 wins big
ACA,2023,R&D-Zero,Construction Materials,4016.304,,0.44234868375805314,-1.0298273792391706,1,0.0,M3 wins big
ACA,2024,R&D-Zero,Construction Materials,4720.911999999999,,-0.06711772856463749,-0.4645439034109028,0,0.0,middle
ACAD,2020,R&D-Active,Pharmaceutical Products,8534.24748,222.425,0.04412332917459871,-0.059487547822569216,1,0.0,middle
ACAD,2021,R&D-Active,Pharmaceutical Products,3758.04342,165.719,-0.04534418213958684,-0.08722123825393674,0,0.0,middle
ACAD,2022,R&D-Active,Pharmaceutical Products,2580.0748,298.829,-0.040782588537695924,-0.8384689390498762,0,0.0,middle
ACAD,2023,R&D-Active,Pharmaceutical Products,5155.1915,264.027,-0.019951525831151284,-0.0717101743694674,0,0.0,middle
ACAD,2024,R&D-Active,Pharmaceutical Products,3059.1101500000004,238.203,0.0,0.46378904268877474,0,0.0,middle
ACBM,2020,R&D-Zero,Wholesale,138.504,0.0,-0.043480780856642864,0.16927271384737574,0,0.0,middle
ACBM,2021,R&D-Active,Wholesale,279.19530000000003,5.285,-0.28894143796728355,0.19147189682016397,0,0.05263157894736842,M3 loses big
ACBM,2022,R&D-Active,Wholesale,270.189,10.08,-0.06470715691965145,0.0843633224822673,0,0.0,middle
ACCO,2020,R&D-Active,Almost Nothing,802.2683499999999,19.7,-0.832950440275114,0.11314773714214676,0,0.05263157894736842,M3 loses big
ACCO,2022,R&D-Active,Almost Nothing,526.91899,26.3,-0.6309542692450747,-1.539149995122206,0,0.0,M3 loses big
ACCO,2023,R&D-Active,Almost Nothing,577.15008,25.8,0.40039499557774594,-0.7437563647391436,1,0.05263157894736842,M3 wins big
ACCO,2024,R&D-Active,Almost Nothing,487.62525,23.0,-0.559790850687806,-1.4676446756399013,0,0.0,M3 loses big
ACCS,2020,R&D-Active,Computer Software,66.03021000000001,0.825,-0.028730369465119532,0.73934331632939,0,0.0,middle
ACCS,2021,R&D-Active,Computer Software,111.737094,1.219,0.10392438638973667,0.05054425436794174,1,0.0,middle
ACCS,2022,R&D-Active,Computer Software,94.92663999999999,1.306,-0.24897708593976506,-0.10982427977824824,0,0.0,M3 loses big
ACCS,2023,R&D-Active,Computer Software,69.16595,2.551,0.16946443070370984,0.2596989781634265,1,0.05263157894736842,M3 wins big
ACDC,2023,R&D-Zero,Petroleum and Natural Gas,1351.6187200000002,,1.2055796248147548,4.917937597597733,1,0.0,M3 wins big
ACDC,2024,R&D-Zero,Petroleum and Natural Gas,1242.74072,,3.1982678865916716,1.595429976164073,1,0.0,M3 wins big
ACEL,2020,R&D-Zero,Entertainment,943.1379999999999,,-0.2948873802734281,-0.09767796954708141,0,0.0,M3 loses big
ACEL,2021,R&D-Zero,Entertainment,1216.21122,,-0.45625898520722985,0.4079851761685245,0,0.05263157894736842,M3 loses big
ACEL,2022,R&D-Zero,Entertainment,667.3898,,-28.0478707035224,-0.2849742002836848,0,0.0,M3 loses big
ACEL,2023,R&D-Zero,Entertainment,863.94321,,0.0,0.7442533183390481,0,0.0,middle
ACEL,2024,R&D-Zero,Entertainment,914.9556,,20.880187538293555,134.98259422736618,1,0.0,M3 wins big
ACET,2020,R&D-Active,Pharmaceutical Products,276.46185,34.334,-0.014107044850672712,-0.5377510931994843,0,0.0,middle
ACET,2022,R&D-Active,Pharmaceutical Products,384.0177,71.246,0.1411222265400217,-0.09755826219609408,1,0.0,M3 wins big
ACGL,2020,R&D-Zero,Insurance,14670.42647,,0.1381196315783333,0.5215673621555346,1,0.0,M3 wins big
ACGL,2021,R&D-Zero,Insurance,16843.1718,,0.14529822363903766,0.03566367257113823,1,0.05263157894736842,M3 wins big
ACGL,2022,R&D-Zero,Insurance,23250.32188,,-0.14730229146544038,0.41339366108184517,0,0.05263157894736842,M3 loses big
ACGL,2023,R&D-Zero,Insurance,27732.417999999998,,-0.014594780660746709,-0.13581964613479847,0,0.1111111111111111,middle
ACGL,2024,R&D-Zero,Insurance,34760.53999999999,,-0.15525033124858445,-0.2976428678181703,0,0.05263157894736842,M3 loses big
ACGP,2020,R&D-Zero,Trading,782.26288,,-0.2525575419163729,-0.4451949665331825,0,0.0,M3 loses big
ACGP,2021,R&D-Zero,Trading,948.494,,-0.0029463160015704704,-0.4508625141528063,0,0.05263157894736842,middle
ACGP,2022,R&D-Zero,Trading,923.3601,,-0.03463398918164662,-0.10769995477786037,0,0.0,middle
ACGP,2023,R&D-Zero,Trading,769.12198,,0.062414225805787815,-0.018185003548470524,1,0.0,middle
ACGP,2024,R&D-Zero,Trading,725.7532480000001,,0.19306370222773594,0.008405917163451126,1,0.0,M3 wins big
ACHC,2020,R&D-Zero,Healthcare,4424.08624,0.0,0.19759623471819635,0.17454665323976865,1,0.0,M3 wins big
ACHC,2021,R&D-Zero,Healthcare,5403.999600000001,0.0,0.07325631098751534,-0.0596032036512458,1,0.0,middle
ACHC,2022,R&D-Zero,Healthcare,7401.72048,0.0,-0.08850799479443172,0.12798916303689223,0,0.0,M3 loses big
ACHC,2023,R&D-Zero,Healthcare,7096.68864,0.0,0.0252151997283373,0.054753232746977354,1,0.0,middle
ACHC,2024,R&D-Zero,Healthcare,3638.8787500000003,0.0,-0.5554926588023216,0.3251062348846195,0,0.0,M3 loses big
ACI,2021,R&D-Zero,Retail,14232.8956,0.0,0.0355043916028952,0.1507297299448782,1,0.17647058823529413,middle
ACI,2022,R&D-Zero,Retail,11324.99984,0.0,0.0,-0.32503303539692807,0,0.1111111111111111,middle
ACI,2023,R&D-Zero,Retail,11682.25344,0.0,0.0,0.20790425142777103,0,0.05263157894736842,middle
ACI,2024,R&D-Zero,Retail,12107.29968,0.0,-0.019223317381612925,0.17799322105929194,0,0.17647058823529413,middle
ACIC,2020,R&D-Zero,Insurance,246.39471999999998,,0.01655771663878458,0.1336025404612834,1,0.0,middle
ACIC,2021,R&D-Zero,Insurance,188.2258,,0.03040997035217119,-0.03393434168538789,1,0.0,middle
ACIC,2023,R&D-Zero,Insurance,442.51042000000007,,0.9913046581690934,-0.6904786615500536,1,0.05263157894736842,M3 wins big
ACIC,2024,R&D-Zero,Insurance,648.8393,,0.24786619510495894,0.6303768928286058,1,0.05263157894736842,M3 wins big
ACIW,2020,R&D-Active,Computer Software,4500.61416,139.293,0.25238331494473726,0.3268099117245715,1,0.0,M3 wins big
ACIW,2021,R&D-Active,Computer Software,4015.8310000000006,144.31,-0.05939777626637488,0.40294756702770396,0,0.0,middle
ACIW,2022,R&D-Active,Computer Software,2485.587,146.311,-0.06406707795763547,0.31130361194669626,0,0.0,middle
ACIW,2023,R&D-Active,Computer Software,3307.1868000000004,140.758,0.0,0.16659887968122603,0,0.05263157894736842,middle
ACIW,2024,R&D-Active,Computer Software,5463.787049999999,146.677,0.013020074937093049,-0.009393439696187195,1,0.0,middle
ACLS,2020,R&D-Active,Machinery,979.3929600000001,61.833,-0.01196782227487736,-0.4847317381170168,0,0.05263157894736842,middle
ACLS,2021,R&D-Active,Machinery,2478.3744,65.431,0.1344361113789016,-0.002961372980651328,1,0.05263157894736842,middle
ACLS,2022,R&D-Active,Machinery,2601.024,78.356,-0.21959368616058772,0.23012927552752352,0,0.05263157894736842,M3 loses big
ACLS,2023,R&D-Active,Machinery,4238.91765,96.907,-0.24180900266634175,-0.05033541272240011,0,0.0,M3 loses big
ACLS,2024,R&D-Active,Machinery,2261.3425500000003,105.497,0.1189137526074463,-0.3428713122513342,1,0.0,middle
ACLX,2023,R&D-Active,Pharmaceutical Products,2901.54,133.849,-0.17651049752999098,0.2883388885027963,0,0.0,M3 loses big
ACLX,2024,R&D-Active,Pharmaceutical Products,4163.80686,157.093,0.25450116374409115,0.25260234912169605,1,0.05263157894736842,M3 wins big
ACM,2020,R&D-Zero,Business Services,6570.7628,,0.014769013028425482,2.203225045132946,1,0.0,middle
ACM,2021,R&D-Zero,Business Services,9041.12235,,0.4158752188283702,2.1040141086830078,1,0.0,M3 wins big
ACM,2022,R&D-Zero,Business Services,9498.917580000001,,-0.5957215487778194,2.034234795653404,0,0.05263157894736842,M3 loses big
ACM,2023,R&D-Zero,Business Services,11310.961440000003,,-2.1316123805864153,3.838948958349751,0,0.0,M3 loses big
ACM,2024,R&D-Zero,Business Services,13688.64504,,0.37341251728092395,12.623100335870614,1,0.05263157894736842,M3 wins big
ACMR,2020,R&D-Active,Machinery,1519.375,19.119,-0.0002970948496382464,-0.20139795581721753,0,0.0,middle
ACMR,2021,R&D-Active,Machinery,1668.3928199999998,34.207,0.4575891430992714,0.05868198290035026,1,0.0,M3 wins big
ACMR,2022,R&D-Active,Machinery,460.10967,62.226,-0.6519785076601484,-0.5297880227583658,0,0.0,M3 loses big
ACMR,2023,R&D-Active,Machinery,1193.07332,92.709,-0.31115500814145847,-0.4142162925013741,0,0.0,M3 loses big
ACMR,2024,R&D-Active,Machinery,950.7111,105.473,0.0,-2.3660864249066824,0,0.0,middle
ACN,2020,R&D-Active,Business Services,152155.44838000002,870.611,0.25998091629279324,-0.4824623443242363,1,0.0,M3 wins big
ACN,2021,R&D-Active,Business Services,212734.86416,1118.32,-0.06654041602611643,-0.2527043825770565,0,0.05263157894736842,middle
ACN,2022,R&D-Active,Business Services,182066.72128,1123.296,0.2420735802509606,-0.44280411704865713,1,0.05263157894736842,M3 wins big
ACN,2023,R&D-Active,Business Services,203413.35904999997,1298.657,0.4296711633017504,-0.29627450148658263,1,0.0,M3 wins big
ACN,2024,R&D-Active,Business Services,213814.49599999998,1150.43,-0.23385098182556596,0.13816466761432195,0,0.0,M3 loses big
ACNB,2022,R&D-Zero,Banking,338.98215000000005,,0.03032871356636868,0.27474247732579554,1,0.05263157894736842,middle
ACNB,2023,R&D-Zero,Banking,380.95235999999994,,0.0,0.052239241382341595,0,0.0,middle
ACNB,2024,R&D-Zero,Banking,340.70582,,-0.17406802724642056,-0.3996970501502647,0,0.05263157894736842,M3 loses big
ACNT,2020,R&D-Active,Steel Works Etc,71.58059999999999,0.5,0.6744837634969334,-0.33101139788678124,1,0.0,M3 wins big
ACNT,2021,R&D-Zero,Steel Works Etc,167.04381,,-0.3417124181840432,-1.6430481258150957,0,0.05263157894736842,M3 loses big
ACNT,2022,R&D-Zero,Steel Works Etc,88.09586999999999,,-0.06760354212447361,-0.7027127218613951,0,0.0,middle
ACNT,2023,R&D-Zero,Steel Works Etc,96.50820000000002,,-0.413133192942006,-2.108924544102068,0,0.05263157894736842,M3 loses big
ACNT,2024,R&D-Zero,Steel Works Etc,112.61614,,-1.3124202765369464,-4.0022403735365595,0,0.0,M3 loses big
ACR,2020,R&D-Zero,Trading,121.6551,,-0.007618480205203181,0.05896859596691742,0,0.05263157894736842,middle
ACR,2021,R&D-Zero,Trading,114.08802999999999,,-0.0371015486719431,-0.07677757675018293,0,0.05263157894736842,middle
ACR,2022,R&D-Zero,Trading,71.92808,,0.15095711451116658,0.10920399204050009,1,0.0,M3 wins big
ACR,2023,R&D-Zero,Trading,75.78636,,0.031123002522863652,-0.130428183606814,1,0.0,middle
ACR,2024,R&D-Zero,Trading,123.28909999999999,,0.07498375745591188,-0.0023293720538052134,1,0.0,middle
ACRE,2020,R&D-Zero,Trading,398.29422,0.0,0.06956407558157723,0.12092914379554605,1,0.1111111111111111,middle
ACRE,2021,R&D-Zero,Trading,685.47376,0.0,0.021724337416886966,0.02474213685082391,1,0.05263157894736842,middle
ACRE,2022,R&D-Zero,Trading,560.22876,0.0,0.02146004218438452,0.07389915675794367,1,0.0,middle
ACRE,2023,R&D-Zero,Trading,560.9836399999999,0.0,0.009782503958281508,0.049560472502732086,1,0.05263157894736842,middle
ACRE,2024,R&D-Zero,Trading,321.25238,0.0,0.006714260060376759,0.03186896994849703,1,0.05263157894736842,middle
ACRS,2020,R&D-Active,Pharmaceutical Products,291.85523,31.731,0.13200839550126053,0.23648675435557304,1,0.0,middle
ACRS,2021,R&D-Active,Pharmaceutical Products,890.2551199999999,43.813,0.09448620599981904,0.4982318168628103,1,0.0,middle
ACRS,2022,R&D-Active,Pharmaceutical Products,1050.3517499999998,77.813,0.05144370868890258,0.303947300227725,1,0.0,middle
ACRS,2024,R&D-Active,Pharmaceutical Products,267.46799999999996,120.491,0.2982045522255985,0.06717334210809353,1,0.0,M3 wins big
