Model,Firm-years priced,Mean |gap| ($M),Median |gap| ($M),Mean |gap| / EV (%),Median |gap| / EV (%),Sum |gap| ($B)
M0_FF49,13558,12286.157129567386,1118.547774290062,171.8356853924974,53.51919309323614,166575.7183626746
M1_Financial,13559,9974.153023392024,967.2384631680619,145.43221999051016,44.655403317077344,135239.54084417244
M2_Text,13559,10901.00842371693,1064.6462788905637,183.8881387238772,50.18810653307023,147806.77321717786
M3_Fusion,13559,9146.571301588274,889.1966389123199,139.15965795971442,42.17356638113035,124018.3602782354
