Model,Space,Focal-Peer,Peer-Peer,n
M0_FF49,Financial,0.21489314622719036,0.21489314622719036,13550
M0_FF49,Text,0.9514308697623081,0.95143087068607,13550
M1_Financial,Financial,0.7668360264751689,0.7037567546616836,13559
M1_Financial,Text,0.9454155415373484,0.9443950310587944,13559
M2_Text,Financial,0.2990440174829587,0.27921088993175736,13559
M2_Text,Text,0.9769177568663062,0.973529390629717,13559
M3_Fusion,Financial,0.6476513929962454,0.5067818409905016,13559
M3_Fusion,Text,0.9559884814309093,0.9485909629601347,13559
