Stratum,n,M0 MdAPE,M0 CI,M1 MdAPE,M1 CI,M2 MdAPE,M2 CI,M3 MdAPE,M3 CI,Δ M1 vs M0,Δ M2 vs M0,Δ M3 vs M1,p (M1>M0),p (M2>M0),p (M3>M1)
Traditional Regime (Asset-Heavy × R&D-Zero),4124,57.72,"[55.18, 60.10]",47.6,"[45.41, 49.96]",57.06,"[54.55, 59.86]",43.63,"[41.59, 45.66]",17.53,1.13,8.33,0.0,0.0003,0.0
Innovation Regime (Asset-Light × R&D-Active),2582,43.76,"[42.44, 45.67]",35.74,"[34.25, 37.56]",42.33,"[40.80, 44.55]",34.06,"[32.17, 35.89]",18.31,3.25,4.72,0.0,0.0016,0.0086
