Stratum,n,M0 MdAPE,M0 CI,M1 MdAPE,M1 CI,M2 MdAPE,M2 CI,M3 MdAPE,M3 CI,Δ M1 vs M0,Δ M2 vs M0,Δ M3 vs M1,p (M1>M0),p (M2>M0),p (M3>M1)
"Tangible-Extreme (Q1, non-fin)",2005,57.63,"[54.55, 60.24]",44.02,"[41.08, 46.42]",55.3,"[52.34, 58.61]",42.52,"[40.12, 45.01]",23.62,4.04,3.39,0.0,0.0002,0.0
"Intangible-Extreme (Q5, non-fin)",2004,52.69,"[50.81, 55.16]",38.29,"[35.97, 39.94]",48.03,"[45.14, 50.54]",36.43,"[34.08, 38.23]",27.32,8.84,4.85,0.0,0.0,0.0013
