Stratum,n,M0 MdAPE,M0 CI,M1 MdAPE,M1 CI,M2 MdAPE,M2 CI,M3 MdAPE,M3 CI,Δ M1 vs M0,Δ M2 vs M0,Δ M3 vs M1,p (M1>M0),p (M2>M0),p (M3>M1)
Strict Traditional (FF49 ∩ Asset-Heavy × R&D-Zero),1249,81.83,"[78.57, 86.43]",79.04,"[74.16, 84.27]",95.04,"[91.15, 100.79]",74.61,"[69.40, 81.52]",3.4,-16.15,5.61,0.0133,0.9999,0.0
Strict Innovation (FF49 ∩ Asset-Light × R&D-Active),1986,39.88,"[37.93, 41.99]",35.03,"[33.60, 36.75]",40.02,"[37.66, 42.07]",33.75,"[31.68, 35.81]",12.17,-0.36,3.64,0.0,0.0115,0.1268
