Stratum,n,M0 MdAPE,M0 CI,M1 MdAPE,M1 CI,M2 MdAPE,M2 CI,M3 MdAPE,M3 CI,Δ M1 vs M0,Δ M2 vs M0,Δ M3 vs M1,p (M1>M0),p (M2>M0),p (M3>M1)
Tangible-Heavy,4520,66.14,"[64.17, 68.26]",53.19,"[50.71, 55.30]",64.64,"[62.20, 66.83]",49.51,"[47.32, 51.87]",19.58,2.27,6.92,0.0,0.0,0.0
Mixed,4517,51.7,"[49.61, 53.82]",42.41,"[40.51, 44.31]",50.94,"[48.53, 52.92]",39.65,"[38.19, 41.04]",17.98,1.46,6.49,0.0,0.0,0.0
Intangible-Heavy,4521,46.41,"[44.51, 48.30]",36.87,"[35.01, 38.86]",42.61,"[41.10, 44.49]",35.22,"[33.45, 36.51]",20.55,8.17,4.49,0.0,0.0,0.0
