Stratum,n,M0 MdAPE,M0 CI,M1 MdAPE,M1 CI,M2 MdAPE,M2 CI,M3 MdAPE,M3 CI,Δ M1 vs M0,Δ M2 vs M0,Δ M3 vs M1,p (M1>M0),p (M2>M0),p (M3>M1)
FF49 Traditional (curated list),1961,83.36,"[80.37, 86.96]",74.29,"[71.11, 79.00]",93.36,"[89.37, 97.90]",71.64,"[68.17, 75.31]",10.88,-12.0,3.57,0.0025,1.0,0.0
FF49 Innovation (curated list),4365,45.29,"[44.10, 47.00]",37.81,"[36.70, 39.24]",43.39,"[42.08, 44.82]",36.25,"[35.07, 37.41]",16.52,4.19,4.13,0.0,0.0,0.0032
