Stratum,n,M0 MdAPE,M0 CI,M1 MdAPE,M1 CI,M2 MdAPE,M2 CI,M3 MdAPE,M3 CI,Δ M1 vs M0,Δ M2 vs M0,Δ M3 vs M1,p (M1>M0),p (M2>M0),p (M3>M1)
Tangible-Extreme (Q1),2715,61.47,"[59.22, 64.25]",47.95,"[45.81, 50.62]",58.18,"[55.64, 61.29]",45.64,"[43.27, 47.86]",21.99,5.35,4.82,0.0,0.0,0.0
Intangible-Extreme (Q5),2713,42.96,"[40.74, 45.16]",31.49,"[29.70, 33.39]",39.71,"[37.49, 41.74]",30.75,"[28.99, 32.35]",26.7,7.56,2.34,0.0,0.0003,0.0041
