Industry,n,M0,M2,Δ M2-M0,M3,Δ M3-M1,note
Measuring and Control Eq.,216,32.13,37.48,-16.66,30.48,8.36,
Computers,109,76.41,88.15,-15.37,72.82,10.33,
Computer Software,1102,38.4,41.7,-8.58,36.95,3.2,
Electronic Equipment,552,52.47,55.76,-6.27,46.91,-6.34,
Communication,201,51.41,51.46,-0.08,45.75,14.52,
Medical Equipment,466,37.43,36.92,1.36,31.22,11.11,
Business Services,600,53.59,51.95,3.06,41.27,7.07,
Pharmaceutical Products,1119,46.96,36.88,21.47,28.42,6.09,
